id_videogame,id_plataforma,id_genero,id_publicador,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,
34,6,9,17,4.99,5.88,0.65,2.52,14.03,"INSERT INTO VENTA VALUES(34 , 6 , 9 , 17 , 4.99 , 5.88 , 0.65 , 2.52);"
34,5,9,17,8.25,4.3,0.07,1.12,13.73,"INSERT INTO VENTA VALUES(34 , 5 , 9 , 17 , 8.25 , 4.3 , 0.07 , 1.12);"
35,5,9,17,8.52,3.63,0.08,1.29,13.51,"INSERT INTO VENTA VALUES(35 , 5 , 9 , 17 , 8.52 , 3.63 , 0.08 , 1.29);"
29,6,9,17,5.54,5.82,0.49,1.62,13.46,"INSERT INTO VENTA VALUES(29 , 6 , 9 , 17 , 5.54 , 5.82 , 0.49 , 1.62);"
36,7,1,499,6.99,4.51,0.3,1.3,13.1,"INSERT INTO VENTA VALUES(36 , 7 , 1 , 499 , 6.99 , 4.51 , 0.3 , 1.3);"
37,1,3,369,6.75,2.61,2.66,1.02,13.04,"INSERT INTO VENTA VALUES(37 , 1 , 3 , 369 , 6.75 , 2.61 , 2.66 , 1.02);"
31,6,9,17,5.98,4.44,0.48,1.83,12.73,"INSERT INTO VENTA VALUES(31 , 6 , 9 , 17 , 5.98 , 4.44 , 0.48 , 1.83);"
38,4,10,369,2.55,3.52,5.33,0.88,12.27,"INSERT INTO VENTA VALUES(38 , 4 , 10 , 369 , 2.55 , 3.52 , 5.33 , 0.88);"
39,10,7,369,4.74,3.91,2.67,0.89,12.21,"INSERT INTO VENTA VALUES(39 , 10 , 7 , 369 , 4.74 , 3.91 , 2.67 , 0.89);"
40,5,9,328,7.97,2.83,0.13,1.21,12.14,"INSERT INTO VENTA VALUES(40 , 5 , 9 , 328 , 7.97 , 2.83 , 0.13 , 1.21);"
17,11,1,499,3.8,5.81,0.36,2.02,11.98,"INSERT INTO VENTA VALUES(17 , 11 , 1 , 499 , 3.8 , 5.81 , 0.36 , 2.02);"
42,4,1,369,4.4,2.77,3.96,0.77,11.9,"INSERT INTO VENTA VALUES(42 , 4 , 1 , 369 , 4.4 , 2.77 , 3.96 , 0.77);"
43,12,5,369,6.91,2.85,1.91,0.23,11.89,"INSERT INTO VENTA VALUES(43 , 12 , 5 , 369 , 6.91 , 2.85 , 1.91 , 0.23);"
44,7,7,465,3.01,0.01,1.1,7.53,11.66,"INSERT INTO VENTA VALUES(44 , 7 , 7 , 465 , 3.01 , 0.01 , 1.1 , 7.53);"
45,1,5,369,6.16,3.4,1.2,0.76,11.52,"INSERT INTO VENTA VALUES(45 , 1 , 5 , 369 , 6.16 , 3.4 , 1.2 , 0.76);"
46,10,8,369,4.23,3.37,3.08,0.65,11.33,"INSERT INTO VENTA VALUES(46 , 10 , 8 , 369 , 4.23 , 3.37 , 3.08 , 0.65);"
47,3,2,369,6.16,2.04,2.69,0.29,11.18,"INSERT INTO VENTA VALUES(47 , 3 , 2 , 369 , 6.16 , 2.04 , 2.69 , 0.29);"
48,5,1,499,6.76,3.1,0.14,1.03,11.02,"INSERT INTO VENTA VALUES(48 , 5 , 1 , 499 , 6.76 , 3.1 , 0.14 , 1.03);"
49,13,7,465,4.02,3.87,2.54,0.52,10.95,"INSERT INTO VENTA VALUES(49 , 13 , 7 , 465 , 4.02 , 3.87 , 2.54 , 0.52);"
50,10,5,369,4.89,2.99,2.13,0.78,10.79,"INSERT INTO VENTA VALUES(50 , 10 , 5 , 369 , 4.89 , 2.99 , 2.13 , 0.78);"
51,6,7,465,2.96,4.88,0.81,2.12,10.77,"INSERT INTO VENTA VALUES(51 , 6 , 7 , 465 , 2.96 , 4.88 , 0.81 , 2.12);"
35,6,9,17,4.99,3.69,0.38,1.63,10.69,"INSERT INTO VENTA VALUES(35 , 6 , 9 , 17 , 4.99 , 3.69 , 0.38 , 1.63);"
48,6,1,499,4.76,3.76,0.44,1.62,10.57,"INSERT INTO VENTA VALUES(48 , 6 , 1 , 499 , 4.76 , 3.76 , 0.44 , 1.62);"
52,8,5,369,5.99,2.15,2.12,0.29,10.55,"INSERT INTO VENTA VALUES(52 , 8 , 5 , 369 , 5.99 , 2.15 , 2.12 , 0.29);"
53,9,8,369,4.34,2.65,3.15,0.35,10.49,"INSERT INTO VENTA VALUES(53 , 9 , 8 , 369 , 4.34 , 2.65 , 3.15 , 0.35);"
43,4,5,369,5.08,3.11,1.25,0.98,10.42,"INSERT INTO VENTA VALUES(43 , 4 , 5 , 369 , 5.08 , 3.11 , 1.25 , 0.98);"
55,1,4,533,6.05,3.15,0,1.07,10.26,"INSERT INTO VENTA VALUES(55 , 1 , 4 , 533 , 6.05 , 3.15 , 0 , 1.07);"
56,5,9,17,6.72,2.63,0.04,0.82,10.21,"INSERT INTO VENTA VALUES(56 , 5 , 9 , 17 , 6.72 , 2.63 , 0.04 , 0.82);"
57,5,9,328,7.03,1.98,0.08,0.78,9.88,"INSERT INTO VENTA VALUES(57 , 5 , 9 , 328 , 7.03 , 1.98 , 0.08 , 0.78);"
58,12,7,369,5.55,1.94,2.23,0.15,9.87,"INSERT INTO VENTA VALUES(58 , 12 , 7 , 369 , 5.55 , 1.94 , 2.23 , 0.15);"
59,10,5,369,3.66,3.07,2.47,0.63,9.82,"INSERT INTO VENTA VALUES(59 , 10 , 5 , 369 , 3.66 , 3.07 , 2.47 , 0.63);"
60,5,9,328,6.63,2.36,0.04,0.73,9.76,"INSERT INTO VENTA VALUES(60 , 5 , 9 , 328 , 6.63 , 2.36 , 0.04 , 0.73);"
61,13,8,465,3.01,2.47,3.28,0.96,9.72,"INSERT INTO VENTA VALUES(61 , 13 , 8 , 465 , 3.01 , 2.47 , 3.28 , 0.96);"
56,6,9,17,4.09,3.73,0.38,1.38,9.59,"INSERT INTO VENTA VALUES(56 , 6 , 9 , 17 , 4.09 , 3.73 , 0.38 , 1.38);"
62,1,4,533,5.84,2.89,0.01,0.78,9.52,"INSERT INTO VENTA VALUES(62 , 1 , 4 , 533 , 5.84 , 2.89 , 0.01 , 0.78);"
63,13,7,465,3.88,3.42,1.69,0.5,9.49,"INSERT INTO VENTA VALUES(63 , 13 , 7 , 465 , 3.88 , 3.42 , 1.69 , 0.5);"
64,5,9,17,5.91,2.38,0.13,0.9,9.32,"INSERT INTO VENTA VALUES(64 , 5 , 9 , 17 , 5.91 , 2.38 , 0.13 , 0.9);"
65,8,5,369,4.36,1.71,3,0.23,9.3,"INSERT INTO VENTA VALUES(65 , 8 , 5 , 369 , 4.36 , 1.71 , 3 , 0.23);"
66,5,4,328,5.58,2.83,0.02,0.77,9.2,"INSERT INTO VENTA VALUES(66 , 5 , 4 , 328 , 5.58 , 2.83 , 0.02 , 0.77);"
67,10,10,369,2.01,2.32,4.36,0.41,9.09,"INSERT INTO VENTA VALUES(67 , 10 , 10 , 369 , 2.01 , 2.32 , 4.36 , 0.41);"
68,4,4,369,4.46,1.88,1.98,0.7,9.02,"INSERT INTO VENTA VALUES(68 , 4 , 4 , 369 , 4.46 , 1.88 , 1.98 , 0.7);"
69,5,8,65,5.03,2.86,0.1,0.85,8.84,"INSERT INTO VENTA VALUES(69 , 5 , 8 , 65 , 5.03 , 2.86 , 0.1 , 0.85);"
70,8,7,369,3.54,1.24,3.81,0.18,8.76,"INSERT INTO VENTA VALUES(70 , 8 , 7 , 369 , 3.54 , 1.24 , 3.81 , 0.18);"
71,11,11,139,1.11,6.06,0.06,1.26,8.49,"INSERT INTO VENTA VALUES(71 , 11 , 11 , 139 , 1.11 , 6.06 , 0.06 , 1.26);"
72,1,4,369,1.79,3.53,2.49,0.68,8.49,"INSERT INTO VENTA VALUES(72 , 1 , 4 , 369 , 1.79 , 3.53 , 2.49 , 0.68);"
73,14,9,328,6.82,1.53,0.05,0.08,8.49,"INSERT INTO VENTA VALUES(73 , 14 , 9 , 328 , 6.82 , 1.53 , 0.05 , 0.08);"
74,1,4,369,3.81,2.3,1.58,0.73,8.42,"INSERT INTO VENTA VALUES(74 , 1 , 4 , 369 , 3.81 , 2.3 , 1.58 , 0.73);"
75,4,8,369,2.91,1.86,3.14,0.43,8.33,"INSERT INTO VENTA VALUES(75 , 4 , 8 , 369 , 2.91 , 1.86 , 3.14 , 0.43);"
76,6,1,139,1.06,5.05,0.13,2.01,8.24,"INSERT INTO VENTA VALUES(76 , 6 , 1 , 139 , 1.06 , 5.05 , 0.13 , 2.01);"
77,15,10,139,0.98,6.42,0,0.71,8.11,"INSERT INTO VENTA VALUES(77 , 15 , 10 , 139 , 0.98 , 6.42 , 0 , 0.71);"
78,12,9,369,5.8,2.01,0.13,0.15,8.09,"INSERT INTO VENTA VALUES(78 , 12 , 9 , 369 , 5.8 , 2.01 , 0.13 , 0.15);"
79,1,11,453,2.58,3.9,0.66,0.91,8.06,"INSERT INTO VENTA VALUES(79 , 1 , 11 , 453 , 2.58 , 3.9 , 0.66 , 0.91);"
80,7,8,465,2.91,2.07,2.73,0.33,8.05,"INSERT INTO VENTA VALUES(80 , 7 , 8 , 465 , 2.91 , 2.07 , 2.73 , 0.33);"
81,13,8,476,2.28,1.72,3.63,0.23,7.86,"INSERT INTO VENTA VALUES(81 , 13 , 8 , 476 , 2.28 , 1.72 , 3.63 , 0.23);"
82,4,8,369,2.82,1.78,2.69,0.55,7.84,"INSERT INTO VENTA VALUES(82 , 4 , 8 , 369 , 2.82 , 1.78 , 2.69 , 0.55);"
83,16,6,54,7.28,0.45,0,0.08,7.81,"INSERT INTO VENTA VALUES(83 , 16 , 6 , 54 , 7.28 , 0.45 , 0 , 0.08);"
84,17,1,499,2.9,2.83,0.24,1.75,7.72,"INSERT INTO VENTA VALUES(84 , 17 , 1 , 499 , 2.9 , 2.83 , 0.24 , 1.75);"
85,1,5,369,3.66,2.42,0.98,0.64,7.69,"INSERT INTO VENTA VALUES(85 , 1 , 5 , 369 , 3.66 , 2.42 , 0.98 , 0.64);"
86,11,9,139,2.93,3.29,0.22,1.23,7.67,"INSERT INTO VENTA VALUES(86 , 11 , 9 , 139 , 2.93 , 3.29 , 0.22 , 1.23);"
87,11,9,17,2.8,3.3,0.14,1.37,7.6,"INSERT INTO VENTA VALUES(87 , 11 , 9 , 17 , 2.8 , 3.3 , 0.14 , 1.37);"
88,12,1,369,4.1,1.89,1.45,0.16,7.6,"INSERT INTO VENTA VALUES(88 , 12 , 1 , 369 , 4.1 , 1.89 , 1.45 , 0.16);"
89,13,5,465,3.78,2.17,1.31,0.31,7.58,"INSERT INTO VENTA VALUES(89 , 13 , 5 , 465 , 3.78 , 2.17 , 1.31 , 0.31);"
90,2,5,369,5.39,1.18,0.7,0.19,7.46,"INSERT INTO VENTA VALUES(90 , 2 , 5 , 369 , 5.39 , 1.18 , 0.7 , 0.19);"
91,10,3,369,3.24,1.35,2.42,0.43,7.45,"INSERT INTO VENTA VALUES(91 , 10 , 3 , 369 , 3.24 , 1.35 , 2.42 , 0.43);"
92,5,9,17,4.79,1.9,0,0.69,7.37,"INSERT INTO VENTA VALUES(92 , 5 , 9 , 17 , 4.79 , 1.9 , 0 , 0.69);"
93,5,9,139,4.46,2.13,0.06,0.69,7.34,"INSERT INTO VENTA VALUES(93 , 5 , 9 , 139 , 4.46 , 2.13 , 0.06 , 0.69);"
94,1,1,369,3.83,2.19,0.6,0.7,7.31,"INSERT INTO VENTA VALUES(94 , 1 , 1 , 369 , 3.83 , 2.19 , 0.6 , 0.7);"
33,18,9,17,4.52,2.09,0.01,0.67,7.3,"INSERT INTO VENTA VALUES(33 , 18 , 9 , 17 , 4.52 , 2.09 , 0.01 , 0.67);"
95,1,4,533,3.51,3.03,0,0.73,7.27,"INSERT INTO VENTA VALUES(95 , 1 , 4 , 533 , 3.51 , 3.03 , 0 , 0.73);"
93,6,9,139,2.85,2.93,0.35,1.1,7.23,"INSERT INTO VENTA VALUES(93 , 6 , 9 , 139 , 2.85 , 2.93 , 0.35 , 1.1);"
96,7,7,139,3.27,2.83,0.08,1.02,7.2,"INSERT INTO VENTA VALUES(96 , 7 , 7 , 139 , 3.27 , 2.83 , 0.08 , 1.02);"
97,13,3,465,3.27,2.22,1.4,0.29,7.16,"INSERT INTO VENTA VALUES(97 , 13 , 3 , 465 , 3.27 , 2.22 , 1.4 , 0.29);"
98,13,5,465,3.68,1.75,1.42,0.28,7.13,"INSERT INTO VENTA VALUES(98 , 13 , 5 , 465 , 3.68 , 1.75 , 1.42 , 0.28);"
99,19,3,369,4.41,1.04,1.39,0.22,7.07,"INSERT INTO VENTA VALUES(99 , 19 , 3 , 369 , 4.41 , 1.04 , 1.39 , 0.22);"
100,20,7,369,3.13,2.07,1.27,0.49,6.96,"INSERT INTO VENTA VALUES(100 , 20 , 7 , 369 , 3.13 , 2.07 , 1.27 , 0.49);"
101,11,8,65,2.47,3.15,0.24,1.1,6.96,"INSERT INTO VENTA VALUES(101 , 11 , 8 , 65 , 2.47 , 3.15 , 0.24 , 1.1);"
102,19,7,369,4.12,1.77,0.87,0.19,6.95,"INSERT INTO VENTA VALUES(102 , 19 , 7 , 369 , 4.12 , 1.77 , 0.87 , 0.19);"
103,1,4,533,4.14,2.21,0,0.56,6.91,"INSERT INTO VENTA VALUES(103 , 1 , 4 , 533 , 4.14 , 2.21 , 0 , 0.56);"
104,6,11,139,0.78,4.32,0.07,1.73,6.9,"INSERT INTO VENTA VALUES(104 , 6 , 11 , 139 , 0.78 , 4.32 , 0.07 , 1.73);"
105,7,7,139,2.71,3.02,0.08,1.09,6.9,"INSERT INTO VENTA VALUES(105 , 7 , 7 , 139 , 2.71 , 3.02 , 0.08 , 1.09);"
106,7,9,139,2.93,2.75,0.17,0.99,6.83,"INSERT INTO VENTA VALUES(106 , 7 , 9 , 139 , 2.93 , 2.75 , 0.17 , 0.99);"
107,6,1,465,2.77,2.8,0.19,1.06,6.83,"INSERT INTO VENTA VALUES(107 , 6 , 1 , 465 , 2.77 , 2.8 , 0.19 , 1.06);"
108,13,5,465,3.23,2.35,0.94,0.3,6.82,"INSERT INTO VENTA VALUES(108 , 13 , 5 , 465 , 3.23 , 2.35 , 0.94 , 0.3);"
109,1,11,7,3.5,2.64,0,0.67,6.81,"INSERT INTO VENTA VALUES(109 , 1 , 11 , 7 , 3.5 , 2.64 , 0 , 0.67);"
110,5,9,328,4.15,1.92,0.06,0.64,6.76,"INSERT INTO VENTA VALUES(110 , 5 , 9 , 328 , 4.15 , 1.92 , 0.06 , 0.64);"
111,6,1,465,3.27,2.25,0.21,1,6.73,"INSERT INTO VENTA VALUES(111 , 6 , 1 , 465 , 3.27 , 2.25 , 0.21 , 1);"
64,6,9,17,3.1,2.3,0.28,1.04,6.72,"INSERT INTO VENTA VALUES(64 , 6 , 9 , 17 , 3.1 , 2.3 , 0.28 , 1.04);"
112,6,11,139,0.84,4.32,0.11,1.42,6.69,"INSERT INTO VENTA VALUES(112 , 6 , 11 , 139 , 0.84 , 4.32 , 0.11 , 1.42);"
113,4,4,369,1.67,2.78,1.6,0.62,6.67,"INSERT INTO VENTA VALUES(113 , 4 , 4 , 369 , 1.67 , 2.78 , 1.6 , 0.62);"
114,6,1,499,2.79,2.61,0.17,1.03,6.6,"INSERT INTO VENTA VALUES(114 , 6 , 1 , 499 , 2.79 , 2.61 , 0.17 , 1.03);"
115,11,11,139,0.79,4.29,0.05,1.47,6.59,"INSERT INTO VENTA VALUES(115 , 11 , 11 , 139 , 0.79 , 4.29 , 0.05 , 1.47);"
116,1,5,369,3.25,1.84,1.03,0.47,6.59,"INSERT INTO VENTA VALUES(116 , 1 , 5 , 369 , 3.25 , 1.84 , 1.03 , 0.47);"
69,6,8,65,2.55,2.71,0.25,1.05,6.56,"INSERT INTO VENTA VALUES(69 , 6 , 8 , 65 , 2.55 , 2.71 , 0.25 , 1.05);"
117,2,1,369,3.74,0.93,1.69,0.14,6.51,"INSERT INTO VENTA VALUES(117 , 2 , 1 , 369 , 3.74 , 0.93 , 1.69 , 0.14);"
118,6,1,533,2.64,2.56,0.16,1.14,6.5,"INSERT INTO VENTA VALUES(118 , 6 , 1 , 533 , 2.64 , 2.56 , 0.16 , 1.14);"
119,14,9,328,4.98,1.3,0.08,0.07,6.43,"INSERT INTO VENTA VALUES(119 , 14 , 9 , 328 , 4.98 , 1.3 , 0.08 , 0.07);"
120,9,8,369,2.57,1.58,2.06,0.21,6.41,"INSERT INTO VENTA VALUES(120 , 9 , 8 , 369 , 2.57 , 1.58 , 2.06 , 0.21);"
121,7,8,465,3.64,1.2,1.49,0.07,6.4,"INSERT INTO VENTA VALUES(121 , 7 , 8 , 465 , 3.64 , 1.2 , 1.49 , 0.07);"
122,3,8,369,2.55,1.56,1.29,0.99,6.39,"INSERT INTO VENTA VALUES(122 , 3 , 8 , 369 , 2.55 , 1.56 , 1.29 , 0.99);"
123,5,9,328,4.34,1.35,0.06,0.61,6.36,"INSERT INTO VENTA VALUES(123 , 5 , 9 , 328 , 4.34 , 1.35 , 0.06 , 0.61);"
114,5,1,499,3.7,1.97,0.09,0.57,6.34,"INSERT INTO VENTA VALUES(114 , 5 , 1 , 499 , 3.7 , 1.97 , 0.09 , 0.57);"
124,19,5,369,4.01,1.26,0.87,0.17,6.31,"INSERT INTO VENTA VALUES(124 , 19 , 5 , 369 , 4.01 , 1.26 , 0.87 , 0.17);"
125,8,3,82,2.47,0.83,2.87,0.12,6.3,"INSERT INTO VENTA VALUES(125 , 8 , 3 , 82 , 2.47 , 0.83 , 2.87 , 0.12);"
126,15,8,17,0.07,6.21,0,0,6.28,"INSERT INTO VENTA VALUES(126 , 15 , 8 , 17 , 0.07 , 6.21 , 0 , 0);"
127,13,1,209,3.11,2.8,0.02,0.33,6.27,"INSERT INTO VENTA VALUES(127 , 13 , 1 , 209 , 3.11 , 2.8 , 0.02 , 0.33);"
128,5,11,328,3.92,1.78,0.03,0.51,6.24,"INSERT INTO VENTA VALUES(128 , 5 , 11 , 328 , 3.92 , 1.78 , 0.03 , 0.51);"
129,5,9,328,4.05,1.62,0.07,0.49,6.24,"INSERT INTO VENTA VALUES(129 , 5 , 9 , 328 , 4.05 , 1.62 , 0.07 , 0.49);"
130,5,9,328,3.54,1.9,0.07,0.6,6.11,"INSERT INTO VENTA VALUES(130 , 5 , 9 , 328 , 3.54 , 1.9 , 0.07 , 0.6);"
131,7,1,282,2.45,2.01,0.87,0.72,6.05,"INSERT INTO VENTA VALUES(131 , 7 , 1 , 282 , 2.45 , 2.01 , 0.87 , 0.72);"
132,21,5,453,4.47,1.2,0.16,0.19,6.03,"INSERT INTO VENTA VALUES(132 , 21 , 5 , 453 , 4.47 , 1.2 , 0.16 , 0.19);"
133,6,1,282,2.63,1.74,0.83,0.83,6.03,"INSERT INTO VENTA VALUES(133 , 6 , 1 , 282 , 2.63 , 1.74 , 0.83 , 0.83);"
134,13,1,282,3.18,1.83,0.78,0.24,6.03,"INSERT INTO VENTA VALUES(134 , 13 , 1 , 282 , 3.18 , 1.83 , 0.78 , 0.24);"
135,6,1,467,2.41,2.28,0.28,1.01,5.99,"INSERT INTO VENTA VALUES(135 , 6 , 1 , 467 , 2.41 , 2.28 , 0.28 , 1.01);"
136,7,8,475,1.88,0,2.33,1.74,5.95,"INSERT INTO VENTA VALUES(136 , 7 , 8 , 475 , 1.88 , 0 , 2.33 , 1.74);"
137,6,5,465,2.8,2.05,0.17,0.9,5.92,"INSERT INTO VENTA VALUES(137 , 6 , 5 , 465 , 2.8 , 2.05 , 0.17 , 0.9);"
138,4,8,369,0.66,0.69,4.35,0.15,5.84,"INSERT INTO VENTA VALUES(138 , 4 , 8 , 369 , 0.66 , 0.69 , 4.35 , 0.15);"
139,1,1,296,3.66,1.63,0,0.53,5.83,"INSERT INTO VENTA VALUES(139 , 1 , 1 , 296 , 3.66 , 1.63 , 0 , 0.53);"
140,13,1,553,1.88,1.47,2.02,0.45,5.82,"INSERT INTO VENTA VALUES(140 , 13 , 1 , 553 , 1.88 , 1.47 , 2.02 , 0.45);"
141,13,3,465,2.26,1.89,1.36,0.23,5.74,"INSERT INTO VENTA VALUES(141 , 13 , 3 , 465 , 2.26 , 1.89 , 1.36 , 0.23);"
142,4,10,7,3.13,1.94,0.07,0.58,5.72,"INSERT INTO VENTA VALUES(142 , 4 , 10 , 7 , 3.13 , 1.94 , 0.07 , 0.58);"
143,11,9,17,2.49,2.05,0.16,0.96,5.65,"INSERT INTO VENTA VALUES(143 , 11 , 9 , 17 , 2.49 , 2.05 , 0.16 , 0.96);"
6,2,6,369,2.97,0.69,1.81,0.11,5.58,"INSERT INTO VENTA VALUES(6 , 2 , 6 , 369 , 2.97 , 0.69 , 1.81 , 0.11);"
145,6,1,533,2.54,1.95,0.21,0.87,5.57,"INSERT INTO VENTA VALUES(145 , 6 , 1 , 533 , 2.54 , 1.95 , 0.21 , 0.87);"
146,12,3,369,2.95,0.6,1.97,0.04,5.55,"INSERT INTO VENTA VALUES(146 , 12 , 3 , 369 , 2.95 , 0.6 , 1.97 , 0.04);"
147,5,2,533,3.28,1.65,0.07,0.55,5.55,"INSERT INTO VENTA VALUES(147 , 5 , 2 , 533 , 3.28 , 1.65 , 0.07 , 0.55);"
148,6,1,560,2.7,1.91,0.11,0.8,5.53,"INSERT INTO VENTA VALUES(148 , 6 , 1 , 560 , 2.7 , 1.91 , 0.11 , 0.8);"
149,5,7,328,2.99,1.92,0.1,0.51,5.51,"INSERT INTO VENTA VALUES(149 , 5 , 7 , 328 , 2.99 , 1.92 , 0.1 , 0.51);"
150,17,8,82,0.47,0.57,4.13,0.34,5.5,"INSERT INTO VENTA VALUES(150 , 17 , 8 , 82 , 0.47 , 0.57 , 4.13 , 0.34);"
151,9,5,369,3.14,1.24,0.91,0.2,5.49,"INSERT INTO VENTA VALUES(151 , 9 , 5 , 369 , 3.14 , 1.24 , 0.91 , 0.2);"
152,9,7,369,2.62,1.64,0.99,0.23,5.47,"INSERT INTO VENTA VALUES(152 , 9 , 7 , 369 , 2.62 , 1.64 , 0.99 , 0.23);"
